id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12542874,Mount Pleasant- stunning family home,22096754,Evie,,Mount Pleasant,49.25859,-123.07775,Entire home/apt,325,5,30,2022-08-26,0.38,2,10,3,22-156450
12561247,"Beautiful,bright space,fab location,chic style",726292,Dilesh,,Fairview,49.26727,-123.14131,Private room,135,2,194,2022-11-27,2.46,2,183,35,23-156288
12603779,Bright Spacious Kitsilano Apartment,68401435,Shaun,,Kitsilano,49.26367,-123.15108,Entire home/apt,120,180,11,2017-11-22,0.14,1,164,0,
12604369,Chloe’s Garden Suite- Steam Room & Fireplace,12590876,Erin,,Riley Park,49.25394,-123.10394,Entire home/apt,159,1,356,2022-11-22,4.54,1,159,68,22-156377
12606189,Cozy Quiet DT Vancouver Studio w/ weekly Laundry,56384031,Maddi,,Downtown,49.27936,-123.12572,Entire home/apt,104,30,42,2022-12-02,0.54,5,150,6,
12608756,Bright & Cozy Studio - shared,29575891,Sina,,West End,49.29025,-123.13413,Shared room,55,2,107,2022-10-10,1.37,1,0,20,22-156029
12611121,"spacious, funky, character, 3 bdrm., well located",2452257,Harvey,,Marpole,49.2153,-123.14121,Entire home/apt,190,3,75,2022-10-10,0.93,1,108,10,22-156538
12736445,Heart of Kits,14038126,Meg,,Kitsilano,49.2673,-123.15818,Entire home/apt,225,7,116,2020-09-01,1.45,1,0,0,20-161620
12754577,Beautiful 1br Garden Suite in East Vancouver,23172543,Isabelle,,Grandview-Woodland,49.27393,-123.06639,Entire home/apt,100,30,0,,,1,0,0,
12762068,Bright room - Main Street,24738659,Katrina,,Riley Park,49.24008,-123.10189,Private room,54,2,34,2022-11-19,0.44,4,156,27,22-157239
12791718,Nearby marine drive sky train house,69649817,Nancy,,Marpole,49.21658,-123.10693,Entire home/apt,101,2,53,2019-01-21,0.67,1,0,0,Exempt
14177739,Family Friendly House in Central Vancouver,85864416,Jana,,Kensington-Cedar Cottage,49.24524,-123.07961,Entire home/apt,249,3,25,2022-08-14,0.32,1,343,2,22-157584
14180277,Western Themed Comfortable Private Room,8979425,Malcolm,,Grandview-Woodland,49.27363,-123.06443,Private room,76,30,80,2022-08-31,1.03,3,112,3,19-163047
14202073,Hip Commercial Drive Tropical Heritage House,12487698,Chad,,Grandview-Woodland,49.27238,-123.06842,Entire home/apt,245,2,9,2020-08-10,0.12,2,0,0,21-156881
14216608,Entire Condo @ the heart of Downtown Vancouver,86344341,Ebru,,Downtown,49.27683,-123.11942,Entire home/apt,130,90,6,2022-11-13,0.08,1,224,1,20-115683
14222707,Delbert: the Author and his Oasis World Masks,85899719,Delbert,,Sunset,49.21769,-123.09191,Private room,211,1,6,2018-08-16,0.08,1,363,0,18603717
14247519,Penthouse Unit in Historic Chinatown,86614448,Ann,,Downtown Eastside,49.28043,-123.10105,Entire home/apt,169,3,128,2022-09-12,1.68,1,0,20,22-157343
14248978,"Charming Guest-house, close to Downtown",78932005,Joy,,Downtown Eastside,49.27904,-123.09246,Entire home/apt,127,4,234,2022-11-12,3.03,1,45,26,22-155971
14266530,"Beautiful comfy, private garden suite.",86942788,Colleen,,Sunset,49.22624,-123.1027,Entire home/apt,169,2,74,2020-01-03,0.96,1,159,0,18-607004
14296335,New House By Commercial Dr/Sky Train 3Mnt Downtown,79403774,Aihua,,Kensington-Cedar Cottage,49.26196,-123.05811,Private room,94,30,237,2022-11-01,3.11,3,302,11,20-161117
14320418,"Cozy Private suite w/ Kitchen, Close to DT",54414133,Tommy,,Killarney,49.23108,-123.02945,Entire home/apt,62,2,140,2022-11-20,1.81,1,147,27,22-157851
